frequency_rank,word,meaning,transliteration,menukad,part_of_speech,root
118,בני,my sons,banai,,,
119,אולם,but / hall,ulam,,,
120,אחר,other,akher,,,
121,אחר,after,akhar,,,
122,כמה,how many / how much / some / yearned (m.s.),kama,,,
123,כמה,yearn (m.s.),kameha,,,
124,המאה,the century / the hundred,hame'a,,,
125,החל,started (m.s.),hekhel,,,
126,החל,starting from,hakhel,,,
127,נגד,against,neged,,,
128,אנשי,the people of,anshei,,,
129,אותם,them (m.),otam,,,
130,כלל,rule / all,klal,,,
131,כלל,included (m.s.),kalal,,,
132,מנת,a portion of,menat,,,
133,כיום,today / nowadays,kayom,,,
134,שונים,different / various (m.pl.),shonim,,,
135,המלחמה,the war,hamilkhama,,,
136,שנים,years,shanim,,,
137,שנים,two,shnayim,,,
138,כבר,already,kvar,,,
139,רב,Rabbi // fought (m.s.) / many / much,rav,,,
140,רב,most / majority,rov,,,
141,בשל,because of,beshel,,,
142,בשל,ripe,bashel,,,
143,בשל,cooked (m.s.),bishel,,,
144,בהם,in them (m.),bahem,,,
145,גדול,big / large (m.s.),gadol,,,
146,להם,to them (m.),lahem,,,
147,בעיקר,mainly / principally / especially,be'ikar,,,
148,אלא,but / only,ela,,,
149,היום,today,hayom,,,
150,במקום,instead of / in place,bimkom,,,
151,במקום,in place / in the place,bamakom,,,
152,במקום,in a place,bemakom,,,
153,שהיה,that was (m.s.),shehaya,,,
154,וכן,and also,vekhen,,,
155,הרב,the many / the rabbi,harav,,,
156,הרב,the majority,harov,,,
157,שבו,that in him / that in it,shebo,,,
158,זמן,time,zman,,,
159,יכול,can (m.s.),yakhol,,,
160,להיות,to be,lihiyot,,,
161,לה,to her,la,,,
162,יהודים,Jews,yehudim,,,
163,היהודים,the Jews,hayehudim,,,
164,נוספים,additional (m.pl.),nosafim,,,
165,הים,the sea,hayam,,,
166,ללא,without,lelo,,,
167,מקום,place,makom,,,
168,חיים,life / (could also be a name),khaim,,,
169,המדינה,the state,hamedina,,,
170,הארגון,the organization,ha'irgun,,,
171,אחרי,after,akharei,,,
172,רבות,many (f.) / a lot,rabot,,,
173,רבות,fight (f.pl.),ravot,,,
174,שהוא,that he / that is (m),shehu,,,
175,שנה,year / studied (m.s.),shana,,,
176,בעלי,my husband,ba'ali,,,
177,בעלי,the owner(s) of,ba'alei [tshuva],,,
178,בעלי,repentant,ba'alei [tshuva],,,
179,מתוך,out of / from,mitokh,,,
180,תוך,inside / interior / content,tokh,,,
181,ראש,head,rosh,,,
182,מלחמת,the war of,milkhemet,,,
183,אדם,person / man / human being / Adam,adam,,,
184,מול,against / in front of,mul,,,
185,איש,person / man / husband,ish,,,
186,בדרך,on the way,baderekh,,,
187,בדרך,on a way,bederekh,,,
188,נוספת,additional (f.s.),nosefet,,,
189,שימוש,use,shimush,,,
190,כגון,such as,kegon,,,
191,יום,day / daylight,yom,,,
192,באמצעות,through / by way of / by,be'emtsa'ut,,,
193,מכן,of that / from then / of you (f.pl.),miken,,,
194,במשך,during / in the course of,bemeshekh,,,
195,ואף,and also / and even / and nose,ve'af,,,
196,לך,to you / for you (m.s.),lekha,,,
197,לך,to you / for you (f.s.),lakh,,,
198,לך,go / walk (m.s. Imperative),lekh,,,
199,האדם,the man / the person,ha'adam,,,
200,אתה,you (m.s.),ata,,,
201,בשם,in the name of / called,beshem,,,
202,ועל,and on / and about,ve'al,,,
203,הממשלה,the government,hamemshala,,,
204,לכל,to all,lekhol,,,
205,לכל,to everybody,lakol,,,
206,תחת,under / beneath / instead of,takhat,,,
207,לעתים,sometimes,le'itim,,,
208,הזה,this (m.),haze,,,
209,הזה,hallucinated (m.s.),haza,,,
210,מהם,from them,mehem,,,
211,מהם,what are (m.pl.),mahem,,,
212,למרות,despite,lamrot,,,
213,אמרה,said (f.s.),amra,,,
214,אמרה,phrase / fringe,imra,,,
215,עצמו,himself,atsmo,,,
216,שנות,the years of,shnot,,,
217,כמעט,almost,kim'at,,,
218,אינו,is not / is not here (m.s.),eino,,,
219,בנוסף,in addition,benosaf,,,
220,בידי,in the hands of,bidei,,,
221,בידי,in my hand,beyadi,,,
222,בידי,in my hands,beyadai,,,
223,בעקבות,in the footsteps of / following / as a result of,be'ikvot,,,
224,בעיר,in a city,be'ir,,,
225,בעיר,in the city,ba'ir,,,
226,לפי,according to / to my mouth,lefi,,,
227,בקרב,among,bekerev,,,
228,בקרב,in a battle,bekrav,,,
229,בקרב,in the battle,bakrav,,,
230,כפי,as,kefi,,,
231,כפי,my palm / my spoon,kapi,,,
232,המשחק,the game,hamis'khak,,,
233,המשחק,the one who plays,hamesakhek,,,
234,מי,who,mi,,,
235,רוב,most,rov,,,
236,עבור,for,avur,,,
237,ואת,and the,ve'et,,,
238,ואת,and you (f.s.),ve'at,,,
239,בעת,at a time (of),be'et,,,
240,בעת,phobia,ba'at,,,
241,ארצות,countries,aratsot,,,
242,למשל,for example,lemashal,,,
243,הצבא,the army,hatsava,,,
244,ההגנה,the defense,hahagana,,,
245,כלי,article / dish / vessel / ware / tool,kli,,,
246,נוסף,additional (m.s.),nosaf,,,
247,באזור,in an area,be'ezor,,,
248,באזור,in the area,ba'ezor,,,
249,טוב,good (m.s.),tov,,,
250,בעולם,in the world,ba'olam,,,
251,כוחות,powers / forces / strength,kokhot,,,
252,בתוך,inside,betokh,,,
253,הארץ,the country / the earth / Israel,ha'arets,,,
254,פני,the face of,pnei,,,
255,פני,my face,panai,,,
256,בארץ,in a country,be'arets,,,
257,בארץ,in the country / in Israel,ba'arets,,,
258,והוא,and he,vehu,,,
259,הדבר,the thing / the object / the item / the matter,hadavar,,,
260,הדבר,the plague,hadever,,,
261,בלבד,only,bilvad,,,
262,כוח,power / force / strength,ko'akh,,,
263,בבית,at home / in the house,babayit,,,
264,בבית,in a house,bebayit,,,
265,בבית,in the house of,bebeit,,,
266,מאז,since then,me'az,,,
267,החיים,the life,hakhaim,,,
268,ימים,days,yamim,,,
269,לאורך,through / along,le'orekh,,,
270,לאורך,longitudinally,la'orekh,,,
271,מים,water,mayim,,,
272,הרבה,many / a lot,harbe,,,
273,הרבה,(did something) a lot (m.s.),hirba,,,
274,בלתי,not / no / im- / in- / un- / dis- / except,bilti,,,
275,עליו,on him / about him,alav,,,
276,אביב,spring,aviv,,,
277,מעל,above / over / on top,me'al,,,
278,מעל,embezzled (m.s.),ma'al,,,
279,מעל,embezzlement / treachery,ma'al,,,
280,הגדול,the big / the large (m.s.),hagadol,,,
281,אי,island / not / no / im- / in- / un- / dis-,i,,,
282,הספר,the book,hasefer,,,
283,הספר,the border,hasfar,,,
284,הספר,the barber,hasapar,,,
285,פעם,once / once upon a time,pa'am,,,
286,פעם,beat (m.s.),pa'am,,,
287,ראו,saw (m.pl.),ra'u,,,
288,בכך,by this,bekhakh,,,
289,נראה,looks,nir'e,,,
290,נראה,looked,nir'a,,,
291,לבין,and between,levein,,,
292,ועד,and until,ve'ad,,,
293,ועד,committee / board,va'ad,,,
294,ועד,and a witness,ve'ed,,,
295,כנגד,against,keneged,,,
296,רבה,fought (f.s.),rava,,,
297,שבה,returned (f.s.),shava,,,
298,שבה,that in her,sheba,,,
299,מדי,too,midai,,,
300,מדי,whenever / as often as,midei,,,
301,מדי,the uniform of,madei,,,
302,בסוף,at the end,basof,,,
303,בסוף,at the end of,besof,,,
304,המפלגה,the party (political),hamiflaga,,,
305,במיוחד,especially,bimyukhad,,,
306,שונות,difference / variation / variance (stat.),shonut,,,
307,שונות,different / various (f.pl.) / miscellaneous,shonot,,,
308,המים,the water,hamayim,,,
309,וגם,and also,vegam,,,
310,ככל,the more / as far as,kekhol,,,
311,שהיו,that were,shehayu,,,
312,בתקופה,in a period / in an era,bitkufa,,,
313,בתקופה,in the period / in the era,batkufa,,,
314,אצל,in the possession of / at / near,etsel,,,
315,עדיין,still / yet,adayin,,,
316,השנים,the years,hashanim,,,
317,לכך,to it,lekhakh,,,
318,יהודי,Jew / Jewish (m.s.),yehudi,,,
319,ערך,value,erekh,,,
320,ערך,edited / arranged / held (m.s.),arakh,,,
321,עכשיו,now,akhshav,,,
322,החלו,started (pl.),hekhelu,,,
323,בזמן,at the time [of],bizman,,,
324,בזמן,on time,bazman,,,
325,הכוחות,the powers / the forces / the strength,hakokhot,,,
326,עץ,tree / wood,ets,,,
327,חיל,soldier (m),khayal,,,
328,חיל,corps / forces / success,khayil,,,
329,חיל,fear,khil,,,
330,אפשר,possible (adv.),efshar,,,
331,אפשר,enabled / facilitated (m.s.),ifsher,,,
332,בעוד,while,be'od,,,
333,בתי,the houses of / the homes of,batei,,,
334,בתי,my daughter,biti,,,
335,שלה,hers,shela,,,
336,האי,the island,ha'i,,,
337,באותה,in the same / at the same (f.s.),be'ota,,,
338,גדולה,big / large (f.s.),gdola,,,
339,הגיע,arrived (m.s.),hegi'a,,,
340,יחד,together,yakhad,,,
341,למעשה,actually / in fact,lema'ase,,,
342,צבא,army,tsava,,,
343,מעט,a little / a few,me'at,,,
344,ועוד,and more / and still / plus,ve'od,,,
345,שלהם,theirs,shelahem,,,
346,עלי,on me / about me,alai,,,
347,עלי,go up (f.s. Imperative),ali,,,
348,ביניהם,between them (m.),beinehem,,,
349,והן,and they (f.),vehen,,,
350,ים,sea,yam,,,
351,ובין,and between,uvein,,,
352,הכל,everything,hakol,,,
353,הרי,here is / you see / the mountains of,harei,,,
354,אינם,are not / are not here (m.pl.),einam,,,
355,בתחילת,at the beginning of,bitkhilat,,,
356,האדמה,the land / the earth / the soil / the ground,ha'adama,,,
357,המשפט,the sentence / the trial,hamishpat,,,
358,בצורה,in a way / in a shape / in a form,betsura,,,
359,בצורה,in the way / in the shape / in the form,batsura,,,
360,סוף,end,sof,,,
361,זכה,won (m.s.),zakha,,,
362,זכה,pure (f.),zaka,,,
363,מחוץ,outside of,mikhuts,,,
364,מחוץ,crushed,makhuts,,,
365,בתקופת,in the time of / in the period of / in the era of,bitkufat,,,
366,פה,here,po,,,
367,פה,mouth,pe,,,
368,דומה,similar,dome,,,
369,במסגרת,in a frame / in a framework,bemisgeret,,,
370,במסגרת,in the frame / in the framework,bamisgeret,,,
371,האימפריה,the empire,ha'imperia,,,
372,אנשים,people,anashim,,,
373,מערכת,system / editorial board,ma'arekhet,,,
374,אולי,Maybe / perhaps,ulai,,,
375,השמש,the sun,hashemesh,,,
376,השמש,the attendant,hashamash,,,
377,ספר,book,sefer,,,
378,ספר,border,sfar,,,
379,ספר,barber,sapar,,,
380,ספר,counted (m.s.),safar,,,
381,ספר,told (m.s.),siper,,,
382,עניינים,matters,inyanim,,,
383,שהיא,that she / that is (f.s.),shehi,,,
384,אינה,is not / is not here (f.s.),eina,,,
385,שנת,year [X] / year of,shnat,,,
386,שלי,mine,sheli,,,
387,לראות,to see,lir'ot,,,
388,ולכן,and therefore / and to/for you (f.pl.),velakhen,,,
389,בשנים,in the years,bashanim,,,
390,בשנים,in years,beshanim,,,
391,כתב,writing,ktav,,,
392,כתב,wrote (m.s.) / reporter,katav,,,
393,הקרב,the battle,hakrav,,,
394,קטן,small / little (m.s.),katan,,,
395,ביום,on [day / date] / per day,beyom,,,
396,ביום,during the day,bayom,,,
397,מפני,because,mipnei,,,
398,לשם,[to] there,lesham,,,
399,לשם,[to/for] the name,lashem,,,
400,לשם,for the sake of,leshem,,,
401,לשם,opal,leshem,,,
402,תוכן,content,tokhen,,,
403,הכוח,the power / the force / the strength,hako'akh,,,
404,הגיעו,arrived (pl.),hegi'u,,,
405,בשנות,in the years of,bishnot,,,
406,בארצות,in countries,be'aratsot,,,
407,בארצות,in the countries,ba'aratsot,,,
408,הדרך,the way / the road,haderekh,,,
409,חיילים,soldiers,khayalim,,,
410,תוכנית,program / plan,tokhnit,,,
411,הסרט,the movie / the ribbon/strip,haseret,,,
412,שוב,again / return (m.s. imperative),shuv,,,
413,עקב,due to / because of,ekev,,,
414,עקב,followed (m.s.),akav,,,
415,עקב,heel,akev,,,
416,שהם,that they (m.) / that are (m.pl.),shehem,,,
417,נעשה,done,na'asa,,,
418,נעשה,we will do,na'ase,,,
419,לקראת,towards,lilkrat,,,
420,בהן,in them (f.),bahen,,,
421,הזמן,the time,hazman,,,
422,מיליון,million,milyon,,,
423,המלך,the king,hamelekh,,,
424,שכן,neighbor (m.s.),shakhen,,,
425,שכן,lived / dwelt (m.s.),shakhan,,,
426,יהיה,will be (m.s.),yihiye,,,
427,המועצות,council of,mo'etset,,,
428,ממנו,from him,mimenu,,,
429,קשה,difficult / hard (m.s.),kashe,,,
430,קשה,difficult / hard (f.s.),kasha,,,
431,עבר,passed / crossed / went through (m.s.),avar,,,
432,אחרות,other (f.pl.) / others,akherot,,,
433,השלטון,the authority / the reign / the government,hashilton,,,
434,צריך,need / necessary / should / must,tsarikh,,,
435,חידק,bacterium,khaydak,,,
436,היהודית,the Jewish (f.s.),hayehudit,,,
437,נמצא,is found / is [at] (m.s.),nimtsa,,,
438,הר,mountain,har,,,
439,מבנה,structure,mivne,,,
440,החדשה,the new (f.s.),hakhadasha,,,
441,מכל,from all,mikol,,,
442,בפני,in front of / in the presence of,bifnei,,,
443,בפני,in front of me / in my presence,befanai,,,
444,הקמת,(the) establishment of,hakamat,,,
445,אנחנו,we,anakhnu,,,
446,קבוצת,group of,kvutsat,,,
447,שבהם,that in them (m.),shebahem,,,
448,כולל,includes / including,kolel,,,
449,חיצוניים,external (m.pl.),khitsonim,,,
450,ימי,marine (m.s.),yami,,,
451,הביניים,the mid / the middle / the intermediate,habeinayim,,,
452,ברחבי,all over,berakhvei,,,
453,למעלה,up / upward,lemala,,,
454,מדינות,states,medinot,,,
455,היהודי,the Jew / the Jewish (m.s.),hayehudi,,,
456,יחסית,relatively,yakhasit,,,
457,התנועה,the movement / the motion / the traffic,hatnu'a,,,
458,האלים,the gods,ha'elim,,,
459,מינים,kinds / species / genders,minim,,,
460,אליו,to him / to it (m.s.),elav,,,
461,החברה,the friend (f.s.),hakhavera,,,
462,החברה,the company / the society,hakhevra,,,
463,ארץ,country / land / earth,erets,,,
464,המבנה,the structure,hamivne,,,
465,הבית,the house / the home,habayit,,,
466,המכונה,the machine,hamekhona,,,
467,המכונה,that is called / aka (m.s.),hamekhune,,,
468,המכונה,that is called / aka (f.s.),hamekhuna,,,
469,העם,the people,ha'am,,,
470,משום,because,mishum,,,
471,הצליחו,succeeded (pl.),hitslikhu,,,
472,המרד,the rebellion,hamered,,,
473,לתוך,into,letokh,,,
474,יכולים,can (m.pl.),yekholim,,,
475,סביב,around,saviv,,,
476,מותו,his death,moto,,,
477,לב,heart,lev,,,
478,עתה,now,ata,,,
479,מעבר,transition / pass,ma'avar,,,
480,מעבר,beyond / across,me'ever,,,
481,לדוגמה,for example,ledugma,,,
482,האם,if / is it / whether,ha'im,,,
483,האם,the mother,ha'em,,,
484,הצליח,succeeded (m.s.),hitsliakh,,,
485,מחדש,from the beginning,mekhadash,,,
486,מחדש,renews / innovates (m.s.),mekhadesh,,,
487,לארץ,to the country / to Israel,la'arets,,,
488,העונה,the season / this season / that/who answers (f.s.),ha'ona,,,
489,ברית,pact / alliance / covenant / circumcision,brit,,,
490,לנו,for us / to us / slept overnight (pl.),lanu,,,
491,קישורים,links / the connections / the bindings,kishurim,,,
492,האלה,these,ha'ele,,,
493,האלה,the goddess,ha'ela,,,
494,מזה,from this (m.),mize,,,
495,ראשי,main / principal,rashi,,,
496,עמד,stood / was about to / endured / succeeded / insisted on (m.s.),amad,,,
497,תל,hill,tel,,,
498,בצפון,in the north,batsafon,,,
499,בצפון,in the north of,bitsfon,,,
500,לכן,therefore / to/for you (f.pl.),lakhen,,,
501,ההנדסה,the engineering,hahandasa,,,
502,מבלי,without,mibli,,,
503,לרוב,mostly,larov,,,
504,לרוב,to/for the majority,lerov,,,
505,שבין,that is between / that is among,shebein,,,
506,יד,hand,yad,,,
507,פעולה,action / operation / deed / transaction,pe'ula,,,
508,גוף,body,guf,,,
509,יחידות,unit / squad / only / single (f.s.),yekhida,,,
510,שאני,that I,she'ani,,,
511,בא,coming / came (m.s.),ba,,,
512,ידוע,known,yadu'a,,,
513,ולאחר,and after,vele'akhar,,,
514,ולאחר,and to another / and to be late,vele'akher,,,
515,ולאחר,and to the other,vela'akher,,,
516,תקופה,period / era,tkufa,,,
517,תקופת,period of / era of,tkufat,,,
518,אפילו,even / although,afilu,,,
519,למצוא,to find,limtso,,,
520,קודם,earlier,kodem,,,
521,קודם,former / previous (m.s.),kodem,,,
522,לצד,to a side / to the [right/left] / next to,letsad,,,
523,לצד,to the side,latsad,,,
524,הקהילה,the community,hakehila,,,
525,הייתי,I was,hayiti,,,
526,במאה,in a hundred,beme'a,,,
527,במאה,in the century,bame'a,,,
528,הגוף,the body,haguf,,,
529,מבחינה,from an aspect,mibkhina,,,
530,מבחינה,observes (f.s.),mavkhina,,,
531,יצא,went out / came out (m.s.),yatsa,,,
532,שונה,different (m.s.),shone,,,
533,שהייתה,that/who was / that she was,shehaita,,,
534,אבן,stone,even,,,
535,לראשונה,for the first time,larishona,,,
536,למען,for,lema'an,,,
537,מזון,food,mazon,,,
538,הפך,inverted / converted / turned / become / transformed (m.s.),hafakh,,,
539,קו,line,kav,,,
540,הבחירות,the elections / the selections,habkhirot,,,
541,בניין,building,binyan,,,
542,שושלת,dynasty,shoshelet,,,
543,רקע,background,reka,,,
544,כזה,like this / such,kaze,,,
545,גדולים,big / large (m.pl.),gdolim,,,
546,קיבל,received / accepted (m.s.),kibel,,,
547,הספינה,the ship,hasfina,,,
548,עלה,went up / climbed / increased / immigrated (to Israel) (m.s.),ala,,,
549,עלה,leaf,ale,,,
550,יכולה,can (f.s.),yakhola,,,
551,לבסוף,finally / eventually,levasof,,,
552,אזור,area / region / zone,ezor,,,
553,משנת,from the year [X] / from the year of,mishnat,,,
554,השימוש,the use,hashimush,,,
555,הפעם,this time,hapa'am,,,
556,מיד,immediately,miyad,,,
557,מין,kind / species / gender / sex,min,,,
558,וכי,if,vekhi,,,
559,אחרת,other (f.s.) / otherwise,akheret,,,
560,השנה,this year,hashana,,,
561,אותי,me,oti,,,
562,איך,how,eikh,,,
563,המשיך,continued (m.s.),himshikh,,,
564,בעזרת,with the help of,be'ezrat,,,
565,כתוצאה,as a result,ketotsa'a,,,
566,נשק,weapon,neshek,,,
567,נשק,kissed (m.s.),nashak,,,
568,איזה,which / what (m.),eize,,,
569,האחרון,the last (m.s.),ha'akharon,,,
570,הגדולה,the big / the large (f.s.),hagdola,,,
571,ליד,near / next to,leyad,,,
572,כלומר,meaning,klomar,,,
573,שום,nothing / garlic,shum,,,
574,פחות,less / minus,pakhot,,,
575,פחות,inferior / lesser (m.s.),pakhut,,,
576,בראש,at the top / leading / in a head,berosh,,,
577,בראש,at the top / leading / in the head,barosh,,,
578,דם,blood,dam,,,
579,חברת,friend of / member of (f.s.),khavrat,,,
580,חברת,company of,khevrat,,,
581,פעמים,times,pe'amim,,,
582,השם,the name / God,hashem,,,
583,להגיע,to arrive,lehagi'a,,,
584,החלה,started (f.s.),hekhela,,,
585,חומרים,materials,khomarim,,,
586,היטב,well / properly,heytev,,,
587,העליון,the upper / the top / the utmost / the superior (m.s.),ha'elyon,,,
588,קרב,battle,krav,,,
589,קרב,getting close / approaches (m.s.),karev,,,
590,נוספות,additional (f.pl.),nosafot,,,
591,הקיסר,the Caesar,hakeysar,,,
592,האוויר,the air,ha'avir,,,
593,מרכז,center,merkaz,,,
594,רוצה,wants (m.s.),rotse,,,
595,מלחמה,war,milkhama,,,
596,מכיוון,from the direction of / from adjustment / from tuning,mekivun,,,
597,מכיוון,because,mikeivan,,,
598,שיש,that there is,sheyesh,,,
599,כה,so / this way,ko,,,
600,מאת,from / by,me'et,,,
601,מטרים,meters,metrim,,,
602,היער,the forest,haya'ar,,,
603,הלא,is it not / indeed,halo,,,
604,עליה,on her / about her,aleha,,,
605,מצב,state / situation,matsav,,,
606,הכנסת,the Knesset (the Israeli parliament),hakneset,,,
607,לעומת,compared with / against / opposite,le'umat,,,
608,תנועת,movement of / motion of / traffic of,tnu'at,,,
609,פעולות,actions / operations / deeds / transactions,pe'ulot,,,
610,מעולם,never,me'olam,,,
611,תמיד,always,tamid,,,
612,מאות,hundreds / centuries,me'ot,,,
613,שמו,placed / put (pl.),samu,,,
614,שמו,his name,shmo,,,
615,מצד,from a side / from the [right/left],mitsad,,,
616,בשלב,at a stage / at a phase,beshalav,,,
617,בלי,without,bli,,,
618,רוח,wind / spirit / ghost,ru'akh,,,
619,חדש,new (m.s.),khadash,,,
620,היחיד,the only / the single / the individual,hayakhid,,,
621,בהמשך,Later / later on,bahemshekh,,,
622,בהמשך,Later / later on,behemshekh,,,
623,ארגון,organization,irgun,,,
624,לעשות,to do,la'asot,,,
625,חדשים,new (m.pl.),khadashim,,,
626,קצר,short (m.s.),katsar,,,
627,בעלות,ownership,ba'alut,,,
628,בניגוד,in contrast / contrary to,benigud,,,
629,פעילות,activity,pe'ilut,,,
630,דגל,flag,degel,,,
631,מסוימים,specific (m.pl.),mesuyamim,,,
632,במשחק,in a game,bemis'khak,,,
633,במשחק,in the game,bamis'khak,,,
634,במקביל,in parallel / simultaneously,bemakbil,,,
635,בעבר,in the past,ba'avar,,,
636,בסיס,basis / base,basis,,,
637,לבית,to the house of / to the home of,leveit,,,
638,לבית,to the house / to the home,labayit,,,
639,החדש,the new (m.s.),hakhadash,,,
640,להשתמש,to use,lehishtamesh,,,
641,במספר,at a number,bemispar,,,
642,הקבוצה,the group,hakvutsa,,,
643,קיים,exists (m.s.),kayam,,,
644,המקום,the place,hamakom,,,
645,וכך,and so,vekhakh,,,
646,ואילו,whereas,ve'ilu,,,
647,הנה,here is,hine,,,
648,הנה,[to] here,hena,,,
649,הנה,is (f.s.),hina,,,
650,מאנית,manic (f.s.),manit,,,
651,היישוב,the settlement / the civilization,hayeshuv,,,
652,הזקנה,the old (f.s.),hazkena,,,
653,הזקנה,the old age,hazikna,,,
654,הנמלה,the ant,hanemala,,,
655,ואני,and I / and me,ve'ani,,,
656,נכון,correct / ready (m.s.),nakhon,,,
657,העץ,the tree / the wood,ha'ets,,,
658,סמים,drugs,samim,,,
659,מאוחר,late,me'ukhar,,,
660,הבנק,the bank,habank,,,
661,באותו,in the same / at the same (m.s.),be'oto,,,
662,לגבי,regarding,legabei,,,
663,כלפי,towards,klapei,,,
664,כלפי,towards me,klapai,,,
665,בימי,on [days] / in the days of,bimei,,,
666,הסדרה,the series,hasidra,,,
667,חשוב,important (m.s.),khashuv,,,
668,ובו,and in him / and in it,uvo,,,
669,מטר,meter,meter,,,
670,מטר,rain shower,matar,,,
671,ואז,and then,ve'az,,,
672,האחרים,the other (m.pl.) / the others (m.),ha'akherim,,,
673,אור,light,or,,,
674,לידי,to / to the hands of,liydei,,,
675,לידי,near me / next to me,leyadi,,,
676,ישנם,there are (m.),yeshnam,,,
677,מילים,words,milim,,,
678,ליצור,to form / to create / to make,litsor,,,
679,שטח,area / field / territory,shetakh,,,
680,מורחב,widened / broadened,murkhav,,,
681,אשכול,cluster,eshkol,,,
682,שאין,that there is no,she'ein,,,
683,בגלל,because,biglal,,,
684,ברור,clear / obvious (m.s.),barur,,,
685,גבוה,high / tall (m.s.),gavoha,,,
686,הדין,the judgment / the sentence / the law,hadin,,,
687,הכפר,the village,hakfar,,,
688,העצים,the trees / the logs,ha'etsim,,,
689,הביא,brought (m.s.),hevi,,,
690,השונים,the different / the various (m.pl.),hashonim,,,
691,העברית,the Hebrew,ha'ivrit,,,
692,המתמטיקה,the mathematics,hamatematika,,,
693,ממש,really,mamash,,,
694,עת,time,et,,,
695,חדשה,new (f.s.),khadasha,,,
696,הרימון,the pomegranate / the grenade,harimon,,,
697,מת,dead / died (m.s.),met,,,
698,והיא,and she,vehi,,,
